rgn_id,resilience_score,year
BHI-001,1,2014
BHI-002,0.625,2014
BHI-003,0.625,2014
BHI-004,0.4375,2014
BHI-005,1,2014
BHI-006,0.625,2014
BHI-007,0.625,2014
BHI-008,0.4375,2014
BHI-009,0.625,2014
BHI-010,0.4375,2014
BHI-011,1,2014
BHI-012,0.625,2014
BHI-013,0.4375,2014
BHI-014,1,2014
BHI-015,0.625,2014
BHI-016,0.4375,2014
BHI-017,1,2014
BHI-018,1,2014
BHI-019,NA,2014
BHI-020,1,2014
BHI-021,1,2014
BHI-022,NA,2014
BHI-023,1,2014
BHI-024,1,2014
BHI-025,1,2014
BHI-026,1,2014
BHI-027,1,2014
BHI-028,1,2014
BHI-029,1,2014
BHI-030,0.8125,2014
BHI-031,1,2014
BHI-032,0.8125,2014
BHI-033,NA,2014
BHI-034,1,2014
BHI-035,1,2014
BHI-036,0.8125,2014
BHI-037,1,2014
BHI-038,0.8125,2014
BHI-039,1,2014
BHI-040,0.8125,2014
BHI-041,1,2014
BHI-042,0.8125,2014
